normalization,label,dev_occurrences,covered_occurrences,"occurrence_coverage, %",dev_unique_forms,covered_unique_forms,"unique_coverage, %",unseen_unique_forms
exact,GEO,2720,1918,70.51,1401,718,51.25,683
exact,NAME,2319,959,41.35,1524,416,27.3,1108
exact,ORG,2659,1582,59.5,1609,705,43.82,904
exact,ALL,7698,4459,57.92,4534,1839,40.56,2695
casefold,GEO,2720,1995,73.35,1336,717,53.67,619
casefold,NAME,2319,995,42.91,1488,416,27.96,1072
casefold,ORG,2659,1641,61.71,1534,695,45.31,839
casefold,ALL,7698,4631,60.16,4358,1828,41.95,2530
casefold+apostrophes,GEO,2720,2000,73.53,1325,711,53.66,614
casefold+apostrophes,NAME,2319,996,42.95,1488,417,28.02,1071
casefold+apostrophes,ORG,2659,1649,62.02,1525,693,45.44,832
casefold+apostrophes,ALL,7698,4645,60.34,4338,1821,41.98,2517
