label,mention,frequency
GEO,Oʻzbekiston,816
GEO,AQSh,383
GEO,Oʻzbekistonda,341
GEO,Eron,335
GEO,Эрон,332
GEO,Toshkent,328
GEO,АҚШ,294
GEO,Ўзбекистон,252
GEO,Rossiya,237
GEO,Oʻzbekiston Respublikasi,190
NAME,Tae,860
NAME,Jungkook,787
NAME,Jk,697
NAME,Jimin,367
NAME,Murod Nazarov,299
NAME,Taehyung,280
NAME,Jin,265
NAME,Yoongi,226
NAME,Мурод Назаров,188
NAME,Shavkat Mirziyoyev,149
ORG,Oqtepa Lavash,672
ORG,Telegram,621
ORG,Instagram,502
ORG,Pepsi,483
ORG,Murad Buildings,356
ORG,YouTube,328
ORG,Facebook,315
ORG,Mobiuz,269
ORG,KFC,193
ORG,Arsenal,125
