label,mention,frequency
GEO,Boyovut tumaniga,1
GEO,Chattanooga,1
GEO,Dream City,1
GEO,Gʻafur Gʻulom,1
GEO,Shayxontohur tumaniga,1
GEO,Texasining,1
GEO,Toshkent Markaziy temiryoʻl vokzaliga,1
GEO,Xaqqilobod,1
GEO,кохирадан,1
GEO,Модера таврдан,1
NAME,Abdurasul Ahmedov,1
NAME,Arzikulov Ogʻabek,1
NAME,Daniel Felipe Martínez,1
NAME,Ehud Olmert,1
NAME,Farhod Sadullayev,1
NAME,Leonid Bozhkov,1
NAME,Mamur Saidqosimov,1
NAME,MUHAMMAD YUNUS Q'ORIga,1
NAME,Сангаре,1
NAME,Шохмирзо Умаров,1
ORG,Bayer 04 Leverkusen,1
ORG,Iqtisodiyot va moliya vazirligidan,1
ORG,Navoiy davlat universiteti,1
ORG,Oqtepani vodnik filiali,1
ORG,Samarqand viloyati favqulodda vaziyatlar boshqarmasi,1
ORG,Siviglia,1
ORG,Yandex market,1
ORG,ОТА ОНА ҲАҚИДА,1
ORG,РИНЦ,1
ORG,芝奇皇家戟DDR4-3200,1
