source,style,sentences,synthetic
Lex.uz,Rasmiy uslub,4995,False
Sintetik augmentatsiya,Rasmiy uslub,5,True
Youtube.com,Soʻzlashuv uslubi,4758,False
Sintetik augmentatsiya,Soʻzlashuv uslubi,242,True
Xalqaro konferensiyasi doirasidagi Yosh olimlarning konferensiyasi,Ilmiy uslub,3999,False
Hoshimov konferensiya toʻplamlari,Ilmiy uslub,949,False
Sintetik augmentatsiya,Ilmiy uslub,52,True
Kun.uz,Publitsistik uslub,4995,False
Sintetik augmentatsiya,Publitsistik uslub,5,True
Ikki eshik orasi,Badiiy uslub,4000,False
Kecha va kunduz,Badiiy uslub,1000,False
